region,sex,foreign/Swedish background,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
06 Jönköping county,girls,born in Sweden with two foreign born parents,3002,3149,3248,3377,3555,3756,3917,4030,4155,4272,4281,4426,4586,4793,5106,5473,5801,6094,6419
06 Jönköping county,girls,born in Sweden with one parent born in Sweden and one foreign born parent,3035,3019,3023,3055,3069,3039,3066,3066,3075,3088,3142,3157,3231,3323,3373,3448,3532,3597,3620
06 Jönköping county,girls,born in Sweden with two parents born in Sweden,28692,28464,28243,27861,27394,26952,26318,25756,25291,24952,24661,24417,24462,24593,24669,24733,24780,24783,24741
07 Kronoberg county,boys,foreign born,1062,1059,1110,1093,1245,1401,1498,1596,1617,1680,1784,2097,2358,2621,2971,3252,3318,3285,3130
07 Kronoberg county,boys,born in Sweden with two foreign born parents,1106,1166,1234,1289,1411,1493,1617,1750,1861,1973,2083,2212,2414,2619,2865,3147,3456,3737,3921
07 Kronoberg county,boys,born in Sweden with one parent born in Sweden and one foreign born parent,1727,1755,1790,1795,1804,1817,1851,1825,1828,1820,1862,1894,1938,1963,2043,2092,2154,2193,2258
07 Kronoberg county,boys,born in Sweden with two parents born in Sweden,15809,15641,15481,15273,15063,14804,14543,14190,13933,13662,13414,13255,13281,13289,13270,13308,13392,13416,13421
07 Kronoberg county,girls,foreign born,997,1000,1026,1021,1113,1257,1389,1551,1528,1580,1677,1936,2148,2366,2650,2837,2967,2932,2806
07 Kronoberg county,girls,born in Sweden with two foreign born parents,1092,1155,1233,1296,1376,1451,1548,1660,1767,1858,1993,2131,2293,2480,2705,2972,3267,3526,3766
07 Kronoberg county,girls,born in Sweden with one parent born in Sweden and one foreign born parent,1696,1701,1707,1690,1706,1700,1690,1687,1689,1697,1742,1749,1752,1827,1916,1953,1983,1973,2023
07 Kronoberg county,girls,born in Sweden with two parents born in Sweden,14654,14495,14336,14214,13990,13793,13548,13307,13060,12889,12788,12655,12630,12650,12735,12752,12761,12750,12783
08 Kalmar county,boys,foreign born,1197,1178,1151,1093,1111,1163,1212,1343,1373,1425,1486,1668,1943,2381,3239,3336,3333,3194,2967
08 Kalmar county,boys,born in Sweden with two foreign born parents,953,1033,1067,1126,1181,1233,1276,1333,1423,1471,1504,1518,1603,1713,1900,2125,2314,2513,2661
